Scientific name	Protein	BioSample	Isolate	Contig	Start	Stop	Strand	Element symbol	Element name	Type	Scope	Subtype	Class	Subclass	Method	% Coverage of reference	% Identity to reference	Organism group	Strain	Location	Isolation source	Isolation type	Host	Assembly	Collection date	Contig coverage	Assembly coverage
Escherichia coli	HAO3458184.1	SAMN15158877	PDT000850891.1	DABXCP010000057.1	4591	5403	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella		China: Shandong	farm	environmental/other	Chicken	GCA_014827275.1	2018	499	410
Escherichia coli	HAO3458439.1	SAMN15158877	PDT000850891.1	DABXCP010000142.1	632	1444	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella		China: Shandong	farm	environmental/other	Chicken	GCA_014827275.1	2018	523	410
Escherichia coli	HAO3463193.1	SAMN15158874	PDT000850894.1	DABXCQ010000072.1	1149	1961	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella		China: Shandong	farm	environmental/other	Chicken	GCA_014827395.1	2018	491	530
Escherichia coli	HAO3463350.1	SAMN15158874	PDT000850894.1	DABXCQ010000129.1	632	1444	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella		China: Shandong	farm	environmental/other	Chicken	GCA_014827395.1	2018	473	530
Escherichia coli	HAO3414830.1	SAMN15158873	PDT000850895.1	DABXCG010000035.1	2186	2998	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella		China: Shandong	farm	environmental/other	Chicken	GCA_014827375.1	2018	633	413
Escherichia coli	HAO3415786.1	SAMN15158873	PDT000850895.1	DABXCG010000111.1	1310	2122	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella		China: Shandong	farm	environmental/other	Chicken	GCA_014827375.1	2018	706	413
Escherichia coli	HAO3496480.1	SAMN15158870	PDT000850896.1	DABXCO010000070.1	5704	6516	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella		China: Sichuan	farm	environmental/other	Chicken	GCA_014827335.1	2018	422	441
Escherichia coli	HAO3496713.1	SAMN15158870	PDT000850896.1	DABXCO010000134.1	2509	3321	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella		China: Sichuan	farm	environmental/other	Chicken	GCA_014827335.1	2018	437	441
Escherichia coli	HAO3600293.1	SAMN15158869	PDT000850897.1	DABXDW010000023.1	2187	2999	-	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella		China: Sichuan	farm	environmental/other	Chicken	GCA_014838545.1	2018	312	376
Escherichia coli	HAO3600828.1	SAMN15158869	PDT000850897.1	DABXDW010000074.1	1070	1882	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella		China: Sichuan	farm	environmental/other	Chicken	GCA_014838545.1	2018	366	376
Escherichia coli	HAO3401741.1	SAMN15158871	PDT000850899.1	DABXCI010000072.1	5704	6516	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella		China: Sichuan	farm	environmental/other	Chicken	GCA_014827475.1	2018	412	258
Escherichia coli	HAO3401967.1	SAMN15158871	PDT000850899.1	DABXCI010000136.1	2509	3321	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella		China: Sichuan	farm	environmental/other	Chicken	GCA_014827475.1	2018	413	258
Escherichia coli	WP_023408309.1	SAMN10956393	PDT000469694.1	NZ_CP036179.1	27870	28682	-	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	WCHEC025970	"China: Chengdu, Sichuan"		clinical	Homo sapiens	GCA_004295365.1	17-Oct	0	0
Escherichia coli	WP_023408309.1	SAMN10219252	PDT000470446.1	NZ_CP036205.1	45037	45849	-	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	L725	China: Hangzhou	feces	clinical	Homo sapiens	GCA_004301465.1	2017/7/21	0	0
Escherichia coli	WP_023408309.1	SAMN05928961	PDT000168816.1	NZ_MOJC01000063.1	2207	3019	-	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	496	China: Shandong	commercial chicken farm	environmental/other	fly	GCA_001893455.1	15-May	0	0
Escherichia coli	WP_004201164.1	SAMN05928995	PDT000168827.1	NZ_MOKK01000069.1	835	1647	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	613	China: Shandong	cecum from slaughterhouse	environmental/other	chicken	GCA_001893695.1	15-Feb	0	0
Escherichia coli	WP_004201164.1	SAMN05928996	PDT000168828.1	NZ_MOKL01000044.1	264	1076	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	614	China: Shandong	cecum from slaughterhouse	environmental/other	chicken	GCA_001893715.1	15-Feb	0	0
Escherichia coli	WP_032495622.1	SAMN05928954	PDT000168835.1	NZ_MOIV01000034.1	42361	43173	+	blaNDM-7	subclass B1 metallo-beta-lactamase NDM-7	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	645	China: Shandong	commercial chicken farm	environmental/other	fly	GCA_001893875.1	15-May	0	0
Escherichia coli	WP_032495622.1	SAMN05928955	PDT000168836.1	NZ_MOIW01000034.1	42361	43173	+	blaNDM-7	subclass B1 metallo-beta-lactamase NDM-7	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	555	China: Shandong	commercial chicken farm	environmental/other	fly	GCA_001893905.1	15-May	0	0
Escherichia coli	WP_004201164.1	SAMN05928959	PDT000168837.1	NZ_MOJA01000062.1	680	1492	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	549	China: Shandong	commercial chicken farm	environmental/other	fly	GCA_001893915.1	15-May	0	0
Escherichia coli	WP_032495672.1	SAMN05928962	PDT000168838.1	NZ_MOJD01000093.1	9214	10026	-	blaNDM-9	subclass B1 metallo-beta-lactamase NDM-9	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	497	China: Shandong	commercial chicken farm	environmental/other	fly	GCA_001893935.1	15-May	0	0
Escherichia coli	WP_032495672.1	SAMN05928964	PDT000168839.1	NZ_MOJF01000109.1	8076	8888	-	blaNDM-9	subclass B1 metallo-beta-lactamase NDM-9	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	598	China: Shandong	commercial chicken farm	environmental/other	fly	GCA_001893955.1	15-May	0	0
Escherichia coli	WP_004201164.1	SAMN05928994	PDT000168848.1	NZ_MOKJ01000085.1	835	1647	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	444	China: Shandong	cecum from slaughterhouse	environmental/other	chicken	GCA_001894145.1	15-Feb	0	0
Escherichia coli	WP_023408309.1	SAMN05928960	PDT000168852.1	NZ_MOJB01000045.1	2208	3020	-	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	495	China: Shandong	commercial chicken farm	environmental/other	fly	GCA_001894245.1	15-May	0	0
Escherichia coli	WP_004201164.1	SAMN05928956	PDT000168853.1	NZ_MOIX01000079.1	814	1626	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	493	China: Shandong	commercial chicken farm	environmental/other	fly	GCA_001894235.1	15-May	0	0
Escherichia coli	WP_023408309.1	SAMN05928963	PDT000168854.1	NZ_MOJE01000033.1	5725	6537	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	498	China: Shandong	commercial chicken farm	environmental/other	fly	GCA_001894255.1	15-May	0	0
Escherichia coli	WP_032495672.1	SAMN05928993	PDT000168864.1	NZ_MOKI01000116.1	252	1064	+	blaNDM-9	subclass B1 metallo-beta-lactamase NDM-9	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	570	China: Shandong	cecum from slaughterhouse	environmental/other	chicken	GCA_001894465.1	15-Feb	0	0
Escherichia coli	WP_023408309.1	SAMN05928998	PDT000168865.1	NZ_MOKN01000092.1	183	995	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	443	China: Shandong	sewage from slaughterhouse	environmental/other		GCA_001894495.1	15-Feb	0	0
Escherichia coli	WP_023408309.1	SAMN07312492	PDT000253681.1	NZ_CP023959.1	2045	2857	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	FDAARGOS_448	Canada:BC	urine	clinical	Homo sapiens	GCA_002591135.1	14-Aug	661	589
Escherichia coli	WP_004201164.1	SAMN08242084	PDT000429818.1	NZ_PKNA01000064.1	3555	4367	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	CRE780	Malaysia: Kelantan	pus	clinical	Homo sapiens	GCA_003989585.1	2017/6/5	0	0
Escherichia coli	HAJ2833985.1	SAMD00099761	PDT000431868.1	DABHOT010000060.1	493	1305	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M402	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012645.1		110	83
Escherichia coli	HAJ2834184.1	SAMD00099761	PDT000431868.1	DABHOT010000124.1	494	1306	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M402	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012645.1		103	83
Escherichia coli	HAJ2858962.1	SAMD00099763	PDT000431870.1	DABHOW010000049.1	495	1307	+	blaNDM-4	subclass B1 metallo-beta-lactamase NDM-4	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M407	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012545.1		248	121
Escherichia coli	HAJ2859089.1	SAMD00099763	PDT000431870.1	DABHOW010000095.1	380	1192	+	blaNDM-4	subclass B1 metallo-beta-lactamase NDM-4	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M407	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012545.1		231	121
Escherichia coli	HAJ2854054.1	SAMD00099764	PDT000431871.1	DABHOV010000091.1	493	1305	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M412	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012585.1		271	146
Escherichia coli	HAJ2854386.1	SAMD00099764	PDT000431871.1	DABHOV010000189.1	383	1195	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M412	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012585.1		253	146
Escherichia coli	HAJ2967097.1	SAMD00099768	PDT000431875.1	DABHOS010000065.1	493	1305	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M421	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012505.1	2016/3/29	111	102
Escherichia coli	HAJ2967296.1	SAMD00099768	PDT000431875.1	DABHOS010000125.1	494	1306	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M421	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012505.1	2016/3/29	108	102
Escherichia coli	HAJ2839221.1	SAMD00099769	PDT000431876.1	DABHOU010000090.1	495	1307	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M422	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012565.1	2016/4/26	293	141
Escherichia coli	HAJ2839484.1	SAMD00099769	PDT000431876.1	DABHOU010000167.1	496	1308	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M422	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012565.1	2016/4/26	278	141
Escherichia coli	HAJ2932534.1	SAMD00099773	PDT000431880.1	DABHOO010000027.1	2187	2999	-	blaNDM-4	subclass B1 metallo-beta-lactamase NDM-4	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M504	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012465.1	2016/5/31	132	174
Escherichia coli	HAJ2932987.1	SAMD00099773	PDT000431880.1	DABHOO010000071.1	401	1213	+	blaNDM-4	subclass B1 metallo-beta-lactamase NDM-4	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M504	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012465.1	2016/5/31	100	174
Escherichia coli	HAJ2976912.1	SAMD00099775	PDT000431882.1	DABHOP010000070.1	495	1307	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M506	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012485.1	2016/6/2	243	151
Escherichia coli	HAJ2977166.1	SAMD00099775	PDT000431882.1	DABHOP010000123.1	8366	9178	-	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M506	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012485.1	2016/6/2	239	151
Escherichia coli	HAJ2874149.1	SAMD00099776	PDT000431883.1	DABHOL010000081.1	817	1629	+	blaNDM-4	subclass B1 metallo-beta-lactamase NDM-4	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M507	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012425.1	2016/6/10	124	162
Escherichia coli	HAJ2874263.1	SAMD00099776	PDT000431883.1	DABHOL010000115.1	167	979	+	blaNDM-4	subclass B1 metallo-beta-lactamase NDM-4	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M507	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012425.1	2016/6/10	96	162
Escherichia coli	HAJ2869114.1	SAMD00099778	PDT000431885.1	DABHOH010000063.1	493	1305	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M509	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012225.1	2016/6/13	334	223
Escherichia coli	HAJ2869374.1	SAMD00099778	PDT000431885.1	DABHOH010000131.1	5516	6328	-	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M509	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012225.1	2016/6/13	316	223
Escherichia coli	HAJ2938045.1	SAMD00099779	PDT000431886.1	DABHON010000085.1	492	1304	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M510	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012405.1	2016/6/22	397	235
Escherichia coli	HAJ2938283.1	SAMD00099779	PDT000431886.1	DABHON010000171.1	383	1195	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M510	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012405.1	2016/6/22	357	235
Escherichia coli	HAJ2899010.1	SAMD00099780	PDT000431887.1	DABHOK010000059.1	493	1305	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M512	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012345.1	2016/6/20	282	204
Escherichia coli	HAJ2899188.1	SAMD00099780	PDT000431887.1	DABHOK010000117.1	494	1306	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M512	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012345.1	2016/6/20	258	204
Escherichia coli	HAJ2962128.1	SAMD00099781	PDT000431888.1	DABHOI010000073.1	493	1305	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M513	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012375.1	2016/6/27	238	235
Escherichia coli	HAJ2962428.1	SAMD00099781	PDT000431888.1	DABHOI010000181.1	494	1306	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M513	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012375.1	2016/6/27	222	235
Escherichia coli	HAJ2918715.1	SAMD00099783	PDT000431890.1	DABHOJ010000084.1	493	1305	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M516	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012365.1	2016/7/18	199	153
Escherichia coli	HAJ2918932.1	SAMD00099783	PDT000431890.1	DABHOJ010000153.1	494	1306	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M516	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012365.1	2016/7/18	185	153
Escherichia coli	HAJ2952316.1	SAMD00099785	PDT000431892.1	DABHOD010000079.1	493	1305	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M518	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012325.1	2016/7/21	315	232
Escherichia coli	HAJ2952486.1	SAMD00099785	PDT000431892.1	DABHOD010000135.1	383	1195	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M518	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012325.1	2016/7/21	289	232
Escherichia coli	HAJ2908530.1	SAMD00099786	PDT000431893.1	DABHOF010000053.1	494	1306	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M519	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012285.1	2016/7/28	358	185
Escherichia coli	HAJ2908957.1	SAMD00099786	PDT000431893.1	DABHOF010000165.1	8366	9178	-	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M519	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012285.1	2016/7/28	356	185
Escherichia coli	HAJ2889307.1	SAMD00099790	PDT000431897.1	DABHOC010000084.1	494	1306	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M603	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012265.1	2016/8/24	420	185
Escherichia coli	HAJ2889707.1	SAMD00099790	PDT000431897.1	DABHOC010000155.1	383	1195	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M603	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012265.1	2016/8/24	389	185
Escherichia coli	HAJ2878787.1	SAMD00099795	PDT000431902.1	DABHOB010000059.1	493	1305	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M609	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012165.1	2016/9/8	431	233
Escherichia coli	HAJ2878963.1	SAMD00099795	PDT000431902.1	DABHOB010000108.1	494	1306	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M609	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012165.1	2016/9/8	441	233
Escherichia coli	HAJ2923419.1	SAMD00099799	PDT000431906.1	DABHNY010000049.1	495	1307	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M629-2	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012145.1	2016/12/14	240	197
Escherichia coli	HAJ2923592.1	SAMD00099799	PDT000431906.1	DABHNY010000095.1	380	1192	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M629-2	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012145.1	2016/12/14	207	197
Escherichia coli	HAJ2957071.1	SAMD00099800	PDT000431907.1	DABHOA010000067.1	494	1306	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M630	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012245.1	2016/12/14	1970	198
Escherichia coli	HAJ2957322.1	SAMD00099800	PDT000431907.1	DABHOA010000133.1	5516	6328	-	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M630	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012245.1	2016/12/14	1849	198
Escherichia coli	HAJ2947544.1	SAMD00099801	PDT000431908.1	DABHNX010000067.1	493	1305	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M631	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012055.1	2016/12/14	544	244
Escherichia coli	HAJ2947741.1	SAMD00099801	PDT000431908.1	DABHNX010000131.1	380	1192	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M631	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012055.1	2016/12/14	475	244
Escherichia coli	HAJ2864323.1	SAMD00099802	PDT000431909.1	DABHNZ010000107.1	813	1625	+	blaNDM-4	subclass B1 metallo-beta-lactamase NDM-4	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M633	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012085.1	2016/12/19	381	290
Escherichia coli	HAJ2864538.1	SAMD00099802	PDT000431909.1	DABHNZ010000173.1	163	975	+	blaNDM-4	subclass B1 metallo-beta-lactamase NDM-4	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	M633	Myanmar:Yangon		clinical	Homo sapiens	GCA_013012085.1	2016/12/19	272	290
Escherichia coli	HAJ2844037.1	SAMD00108701	PDT000431914.1	DABHNV010000061.1	493	1305	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	W038B	Myanmar:Yangon		environmental/other		GCA_013012125.1	2017/1/25	280	179
Escherichia coli	HAJ2844305.1	SAMD00108701	PDT000431914.1	DABHNV010000128.1	5516	6328	-	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	W038B	Myanmar:Yangon		environmental/other		GCA_013012125.1	2017/1/25	270	179
Escherichia coli	HAJ2894261.1	SAMD00108703	PDT000431916.1	DABHNW010000062.1	493	1305	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	W040B	Myanmar:Yangon		environmental/other		GCA_013012185.1	2017/1/25	338	217
Escherichia coli	HAJ2894544.1	SAMD00108703	PDT000431916.1	DABHNW010000133.1	380	1192	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	W040B	Myanmar:Yangon		environmental/other		GCA_013012185.1	2017/1/25	274	217
Escherichia coli	HAJ2848859.1	SAMD00108706	PDT000431919.1	DABHNT010000063.1	493	1305	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	W043B	Myanmar:Yangon		environmental/other		GCA_013012105.1	2017/1/25	366	172
